"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GINS1",776.775942223488,3.43882064002746,0.644792668271494,3.78233308167917,0.000155365274469386,0.00778222408146512
"KIF14",507.337154833664,4.95955297246309,1.01428444747303,3.90378949645521,9.46981543030236e-05,0.00541880398844553
"NAALAD2",439.984872743271,-4.5601390913377,0.705671487491134,-5.04503746352999,4.53432515359853e-07,6.37054251864522e-05
"TROAP",465.135483397121,5.00496555642507,0.970173735596412,4.12809109284228,3.65787214238275e-05,0.00245006544544637
"KIF20A",1026.1792801109,4.76171433669601,0.913575801389707,4.11757221565391,3.82884570000449e-05,0.0025448570208376
"FAM13A",7126.78542640036,-4.0801669280789,0.697535546189311,-4.41578489426967,1.00644129363986e-05,0.000852564313499527
"ODZ1",179.249553982443,-4.1279274861324,0.690480908223433,-4.53007092430748,5.89638890384328e-06,0.000542924711667497
"ANGPTL7",108.865801747421,-4.85451798801874,1.03071898585843,-3.73964003855864,0.000184283960732054,0.00872496198742635
"GLYAT",941.518621325034,-8.6135862714678,1.33091634606037,-5.72055959339944,1.06173779547032e-08,2.63336617002769e-06
"NMUR1",285.209489760405,-5.04628916648051,0.796102896698249,-5.08262083112881,3.72262348140391e-07,5.49834669932829e-05
"TRDN",121.564169413205,-6.28522502891535,1.12263654583392,-4.70786831991949,2.50320711723083e-06,0.000265386025723104
"ABCA10",599.033729609813,-4.72743567615929,0.621770548111871,-5.99487332984553,2.03644115089635e-09,6.28423920154284e-07
"ABCA9",2827.57505228602,-4.94633268990117,0.798831421188546,-4.94013202939564,7.80696904717703e-07,9.84760818279316e-05
"ABCA8",5454.48669209982,-5.23732281697059,0.852811546400687,-4.96865085241203,6.74203395844387e-07,8.69470812207975e-05
"NDC80",575.402889054287,4.39698633818944,0.898788025225909,3.77951891085288,0.000157131659816383,0.00782705937082899
"SORBS1",29972.6404104702,-4.72754996152879,0.681839912415329,-5.46689903840394,4.57976728661042e-08,9.42178077141841e-06
"POSTN",49795.8448316785,3.08582421021959,0.508680281765623,4.10046208785549,4.12325984676223e-05,0.00270927959741057
"CHL1",2994.13452232077,-4.59250811519911,0.78791725856136,-4.55949920650118,5.12757506413639e-06,0.000486866069688687
"ALDH1L1",3170.19778416206,-6.67579532642951,1.00240223498901,-5.6621934073119,1.49450240598227e-08,3.63753465884219e-06
"PROKR1",17.477229916386,-6.4730221975278,1.34598909592916,-4.06617127440373,4.77918178570209e-05,0.00309322248834149
"LYVE1",4890.22977400022,-6.33733509316189,0.796208905035575,-6.70343556748265,2.03575482409071e-11,1.40719516460446e-08
"UTS2",18.4941070352502,6.95188724677724,1.35755007776386,4.38428559230841,1.16367029082143e-05,0.000953051483207824
"LILRB5",832.311764901917,-4.62844992226985,0.91044723450443,-3.98534894144071,6.73810325123954e-05,0.00414381360443667
"UBE2C",2664.10452900735,6.49501894107316,1.09218806727514,5.03120213973997,4.87413908450767e-07,6.79274173543363e-05
"ADAMTS5",3809.19365464278,-3.10407906149933,0.396850983178376,-5.30193737873037,1.14580147952791e-07,2.00006013815371e-05
"FAM107A",2431.42768510289,-4.36318180079871,0.546092780833543,-6.15862710300844,7.33782789483772e-10,2.75663051849328e-07
"MMRN1",1697.20461527082,-4.29225750763819,0.756325884429979,-4.3529615677764,1.3431070267074e-05,0.00107954569900142
"TPX2",3934.23278403185,4.90131001422403,0.8055914715042,4.84278961759552,1.28028825879745e-06,0.000151538776714237
"MAST1",112.96401173616,5.4503413507604,0.939473208575939,4.73706041868535,2.16840533945359e-06,0.000235674293528916
"SIK2",8542.07175752407,-3.49350128905073,0.63782207271226,-3.90939949514043,9.25258405704968e-05,0.00534762224380854
"NCAPH",794.231895959002,4.4872919453644,0.842340178401857,4.14000428185762,3.47299338836879e-05,0.00235359995076082
"ABCA5",1530.97386500956,-1.88520955597333,0.211755888883387,-4.18033028805547,2.91085989305834e-05,0.00204481991105452
"MAPK8IP2",1638.01868621219,4.45281150895076,0.639062214844195,5.40293484538523,6.55592780383576e-08,1.23144552584876e-05
"BHMT2",1123.19938010038,-3.94558984382598,0.745063576362686,-3.95347449167494,7.70244787401381e-05,0.00458053540431392
"KIF4A",1003.2197079822,5.09100470216742,1.04958133212598,3.89774910904797,9.70909277034387e-05,0.00551917211066817
"PAMR1",1639.92918829283,-3.50533645889521,0.554773195562358,-4.51596522495219,6.30290079660804e-06,0.000565802463725053
"CCDC69",6527.49295539499,-4.15801116970562,0.699168866573952,-4.51680748483614,6.27789318447721e-06,0.000565802463725053
"PCOLCE2",5675.24529667539,-5.16792797508802,0.9925242695291,-4.19932096679659,2.67716608813547e-05,0.00193573670163469
"PCSK1N",210.929786907261,5.27084403522231,1.14137383922826,3.74184503660084,0.00018267415128951,0.00869639671744912
"CDH20",63.8284445148718,-7.47228771475667,1.28759744622737,-5.02663913610602,4.99150365507284e-07,6.84588687804077e-05
"UBE2T",989.38862221512,4.29639590987747,0.865877836619563,3.80699882878027,0.000140663411220686,0.00727785751288825
"TRHDE",313.602676329245,-6.44656349097799,1.14368132175126,-4.76230868458879,1.91390616832885e-06,0.000217593503255861
"DMGDH",436.404170002009,-4.29396363816784,0.790422634493106,-4.16734477787347,3.0816821769064e-05,0.00213873693570761
"KCNIP2",9244.49758724763,-7.24059674405949,1.0540774042807,-5.92043498771144,3.21091207608982e-09,9.4047070486285e-07
